Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (sqft),Year Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu)
Manhattan,Multifamily Housing,98000,1982,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5463399.1,1762214.1
Manhattan,Office,2325044,1970,Not Available,Not Available,Not Available,Not Available,Not Available,108665968.8,38618831.6,177603017.4
Manhattan,Office,1338000,1970,Not Available,Not Available,Not Available,Not Available,Not Available,42302319.9,,65135076.6
Manhattan,Multifamily Housing,132653,1985,Not Available,13512269.8,Not Available,Not Available,Not Available,Not Available,2137974,7547536
Manhattan,Office,847751,1969,Not Available,Not Available,Not Available,Not Available,Not Available,18088814.3,,42770098.6
Manhattan,Office,575860,1987,Not Available,Not Available,Not Available,Not Available,Not Available,11397804.9,,33074332.2
Manhattan,Office,859807,1969,Not Available,Not Available,Not Available,Not Available,Not Available,54828916.2,,47146726.6
Manhattan,Office,322760,1964,Not Available,Not Available,Not Available,Not Available,Not Available,18097975.8,,15635192.3
Manhattan,Hotel,154478,2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5907320.1,9580310.1
Manhattan,Multifamily Housing,52091,1909,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3161081.8,967208.2
Manhattan,Office,423403,1930,Not Available,Not Available,Not Available,Not Available,Not Available,11102042,,14675274.4
Manhattan,Office,220000,1882,Not Available,3547151.8,Not Available,Not Available,Not Available,Not Available,2506.1,9422283.6
Manhattan,Office,423348,1958,Not Available,Not Available,Not Available,Not Available,Not Available,15338383,260130.3,27440534.3
Manhattan,Office,767690,1921,Not Available,Not Available,Not Available,Not Available,Not Available,47721554.4,,44630322.3
Manhattan,Multifamily Housing,333921,1931,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16077478.6,12079755.9
Manhattan,Office,1015000,1972,Not Available,8445600.4,Not Available,Not Available,Not Available,Not Available,5003615.6,54456661.7
Manhattan,Multifamily Housing,207463,1929,Not Available,Not Available,Not Available,Not Available,Not Available,530202.1,164557.7,9013003
Manhattan,Multifamily Housing,197941,1985,Not Available,Not Available,0,0,Not Available,Not Available,10441275.8,4742565.9
Manhattan,Multifamily Housing,150221,1986,Not Available,5121193.7,Not Available,Not Available,Not Available,Not Available,2332818.2,3726925.3
Manhattan,Multifamily Housing,116000,1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6380893.9,2844322.4
Manhattan,Multifamily Housing,108016,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4395045.3,3662079.3
Manhattan,Multifamily Housing,234119,1986,Not Available,Not Available,0,0,Not Available,Not Available,16783196.3,7159925.4
Manhattan,Multifamily Housing,110896,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5756290.8,2843169.8
Manhattan,Multifamily Housing,160468,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6951841.3,3185492
Manhattan,Multifamily Housing,512889,1987,Not Available,Not Available,0,0,Not Available,Not Available,31758766.1,13215320.3
Manhattan,Multifamily Housing,196798,1988,Not Available,Not Available,0,Not Available,Not Available,Not Available,11837980.8,10677919.2
Manhattan,Multifamily Housing,287200,1989,Not Available,Not Available,Not Available,0,Not Available,Not Available,15207412.8,7974697.9
Manhattan,Multifamily Housing,132184,1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11913419.6,5901391.6
Manhattan,Multifamily Housing,456414,2006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22826750.4,13822748.8
Manhattan,Multifamily Housing,297200,1985,Not Available,12530302.9,Not Available,Not Available,Not Available,Not Available,1040839.4,7830287.4
Manhattan,Multifamily Housing,408516,2008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37410294.8,7145268.4
Manhattan,Multifamily Housing,205992,1986,Not Available,345027.5,Not Available,6175109.9,Not Available,Not Available,5171800.3,7447099.4
